Tempo,DimInput,posCercata
796800.0,100,19
204333.33333333334,100,49
218950.5,100,51
162033.33333333334,100,26
144866.33333333334,100,30
76199.83333333333,100,6
95600.0,100,50
60433.166666666664,100,47
61983.5,100,43
51383.5,100,70
83480.2,100,19
67200.0,100,15
4353.623188405797,100,97
35455.555555555555,100,89
61000.0,100,28
62416.666666666664,100,66
63616.833333333336,100,46
64333.333333333336,100,19
34788.88888888889,100,89
30740.0,100,57
55357.0,100,34
69900.2,100,33
51743.0,100,54
187833.33333333334,100,100
53433.166666666664,100,29
60460.0,100,23
59766.833333333336,100,44
47042.71428571428,100,23
40074.875,100,62
53750.166666666664,100,21
4472.044117647059,100,99
28663.545454545456,100,93
69900.2,100,18
48342.857142857145,100,16
54900.166666666664,100,72
63220.0,100,46
64480.0,100,11
24561.53846153846,100,85
60860.0,100,40
78159.8,100,12
90080.0,111,28
62540.0,111,76
64460.0,111,37
63780.0,111,21
78275.0,111,46
70680.0,111,19
66260.0,111,60
43000.142857142855,111,82
65100.2,111,20
89540.2,111,45
78000.0,111,13
77300.2,111,18
54800.0,111,88
20513.333333333332,111,104
46385.71428571428,111,85
66099.8,111,58
33230.0,111,101
81940.0,111,61
61416.5,111,79
90580.0,111,16
28972.81818181818,111,105
71460.0,111,25
61860.0,111,14
18594.176470588234,111,107
62860.2,111,77
57199.833333333336,111,10
57466.5,111,67
79599.8,111,59
72633.33333333333,111,9
67020.2,111,13
61850.166666666664,111,90
79824.75,111,6
65260.0,111,37
18564.70588235294,111,108
53983.333333333336,111,79
72980.0,111,29
64166.666666666664,111,11
56500.0,111,91
105600.0,111,55
68499.8,111,52
117300.0,124,51
76925.0,124,3
76380.0,124,109
122550.0,124,9
101339.8,124,27
84625.0,124,104
125533.33333333333,124,61
67120.0,124,80
96750.25,124,78
60749.833333333336,124,9
81020.0,124,47
45871.42857142857,124,113
61383.166666666664,124,88
65800.0,124,109
92800.0,124,58
82460.0,124,32
11196.296296296296,124,122
72300.0,124,80
46114.28571428572,124,113
38187.5,124,111
61383.166666666664,124,81
62520.0,124,83
62250.0,124,102
94220.0,124,45
78480.0,124,93
24930.76923076923,124,115
77760.0,124,16
15715.05,124,119
89975.25,124,33
79720.2,124,93
72560.0,124,69
61480.0,124,50
75660.0,124,36
42700.125,124,112
55916.5,124,51
63579.8,124,99
90500.0,124,51
78025.0,124,11
66580.0,124,14
64520.0,124,72
53150.0,138,86
51416.666666666664,138,21
28072.81818181818,138,118
48262.5,138,2
54600.0,138,13
53371.42857142857,138,71
21086.666666666668,138,119
44157.142857142855,138,53
39450.125,138,2
48485.71428571428,138,38
4347.128571428571,138,137
43485.71428571428,138,61
50833.333333333336,138,15
35355.444444444445,138,113
51999.857142857145,138,86
50399.833333333336,138,35
34888.88888888889,138,94
25146.153846153848,138,117
30780.0,138,88
45628.57142857143,138,62
39137.625,138,82
26566.583333333332,138,118
42349.875,138,98
33130.0,138,104
8159.486486486487,138,132
32400.0,138,101
9465.625,138,131
47912.5,138,63
50599.857142857145,138,80
47500.0,138,12
54142.71428571428,138,44
45642.71428571428,138,55
13395.695652173914,138,121
50200.0,138,59
55216.666666666664,138,13
34090.1,138,98
27781.727272727272,138,87
45585.57142857143,138,93
49385.71428571428,138,93
39825.0,138,38
59666.666666666664,154,72
13087.0,154,147
50614.142857142855,154,57
65133.166666666664,154,75
32400.0,154,128
36655.555555555555,154,127
26791.583333333332,154,135
50057.142857142855,154,23
33722.22222222222,154,124
64100.0,154,44
44942.71428571428,154,113
48385.71428571428,154,5
